tweet,ironic
"Eso pasa porque la DINI no lo seguía para protegerlo, como a Gastón. #sarcasmo  https://t.co/oVprJwdw6d",1
@vanevalle80 @CafeconGoles parece mentira con la gestión que se hace de las categorías inferiores en la CD #ironia,1
"@RubenSanchezTW @Albert_Rivera vaya, vaya...¿Quien se lo iba a imaginar? #ironia",1
Y yo preocupado #Ironia https://t.co/Ra1MCvrrye,1
"#Ironía Cuánto más #Tecnología,más #burocracia en el tiempo de respuesta. La eficiencia hace la diferencia en los mercados y en la gente ...",1
La ley seca siempre es contra producente 🍻 #Ironia,1
@skywalker2108 bienvenido al club. Yo lo estoy desde la venta y estoy q no duermo #ironía,1
@anjos1985 @dinomoracs @CercaniasMadrid Cómo era eso de que en verano había menos viajeros y de ahí lo de quitar trenes? #ironía,1
"LOS QUE SE SIRVIERON DEL PODER , AHORA SON HONESTOS , HONRADOS , ETICOS  !!!   JAJAJAJAJAJAJAJ  https://t.co/Q7jBHsRx3Q",1
"Photo: Jimmy, Dak y yo por un mundo feliz. #sarcasmo http://t.co/dFm8Tooaii",1
@PatFBermejo Pues ala: a limpiar el cole de los niños y en Metro. #ironia,1
Aquí no ha terminado el heteropatriarcado #cánticosparalamanicentrista #ironia,1
@AnaMercedesDiaz @OLVzla @willycochez Ana ... Hay que saber leer con un toque de #sarcasmo ...,1
"#Ironía Algunos lo tiran, otros... Lo necesitan #Salta #productores #agropecuarios http://t.co/kblG4SYTWf",1
"@Encarni222 los profesores no trabajamos, damos vacas cuando se van los alumnos, y tenemos dos meses de vacaciones #ironía #modoOn",0
-Y el peje cuando se destapa a la Presidencia de la República? #sarcasmo,1
"Especialmente en estos días de gente sin luz, sin agua, y sin clases... #sarcasmo https://t.co/4CQiQTRIq1",1
@Jorgeli19 tal cual!!! todo puede ser!!! ya no existe el #SARCASMO!!!,0
@JLozanoA @SCT_mx @SEDESOL_mx @JuanPabloAdame @REFORMACOM @IFT_MX como cree Sr. Senador si es para acelerar la transicion a TDT #sarcasmo,1
"Pues nada, seguimos derritiendonos por aquí, y eso que la temperatura real es un grado menos #ironia #zaragoza http://t.co/iwcRwedUZA",1
"Se alegraron más con el gol acaba de hacer Brasil, que por el gol de Colombia el miércoles #Ironía #Colombia",1
@BelGalarza24 NO ME DI CUENTA! #Sarcasmo! Igual mi mami fue por mi JAJAJA,1
Y así es como la gente cae en sus propias mentiras !!!! ;) biiieennnn #sarcasmo,0
Me ha pasado una cosa rara. Sigma no mostraba a un alumno matriculado hasta generar la web de poner la nota final. Fallo aislado #sarcasmo,1
"Los mismos q se quejan d lluvia,trafico, manifestaciones son los q mañana saldran maquillados n tacones y tanga a la marcha #LGBTT #Sarcasmo",1
"@mensajero34 @clemen72 No seas RIDICULO, Su gente NOMAS podia Criticar? Aguantese METICHE #Sarcasmo no lo entiendes?",1
@kikucule Habla más idiomas que Rajoy. #ironia,1
"Claro Majoni televidente , warriors en 6 #Sarcasmo l",1
"buen día x la mañana temprano AM, no te valoro pero te necesito #ironia #toyconfundio",1
"El penal d Robben vs Mexico tambien se eliminará ""pq fue pitado en el marco de una FIFA corrupta"" #Uruguay #sarcasmo https://t.co/nEbW305ZtY",1
"“No importa como te veas, eso no cambia quien eres por dentro .. No juzgues al libro por su portada""""""#ironia lavida",1
Extendieron las primarias del Psuv hasta las 10 pm por este gentío en las colas #SARCASMO http://t.co/GFUJS6bcc0 #VamosVenezuela,1
Putos Lunes.... #ironia #estresoff #piscinalista #summer https://t.co/8xzzYDWH7n,1
@luigi Ellos están atrasados. Ahora la moda es ser notas de voz al mejor estilo de whatsup. #Sarcasmo,1
¿Por qué tenemos que someternos a las reglas opresoras del diccionario? #Sarcasmo,1
@capitan_ahab @soniachaconp yaaaa. Era #ironia.,1
"Pues en dado caso, que @miseleccionmx varonil también se vaya a lavar ropa. ¿por eso de q juegan mal, vdd? #ironia http://t.co/LJnyFvrKtH",1
"Una persona que abusa sexualmente de otra, sea en el contexto que sea, no se las puede llevar peladas. De héroe nacional a villano #ironia",1
"Ahora un crío salta de un edificio porque «lo había hecho muchas veces en el juego». Claro, todos lo hacemos a diario... #CSICyber #ironia",1
"Despues del partido #COL #ARG viene La Tusa ?? Ah, no. El desafío. #Sarcasmo",1
Mi sueño más grande es el que me da después de comer. #Sarcasmo #MalDelPuerco,0
"P. Rigobon #ironia #SalvadorEspriu ""La ironia és, en general, pròpia de les èpiques de crisi.""",1
"Me caes mal, pero que te trate bien no significa que sea hipócrita, eso se llama Educación. Algo que me imagino no conoces #Sarcasmo",1
Que que le quiten un verraco termo y no unas tijeras... ESO ES SEGURIDAD #sarcasmo,1
@eduardopino18 le voy a meter el hashtag #sarcasmo,1
"Mises dice que lo de la plusvalía y el plusvalor lo ""inventó"" Marx. Por eso se puede deducir ya en escritos de Ricardo y de Smith #Ironía",1
SARCAS-PRO by Popa Arias jajajajaja😂 @EddyVasquezWao @WAO975 #Sarcasmo @showpropanama http://t.co/jA39sFW1GA,1
"Photo: No es que no sepa perdonar, es solo que tú me cagas!! #pendejo #humor #sarcasmo #ironia #lol #love... http://t.co/GpKqEL5X3d",1
Y también sin contar la población desempleada que emigra? #paro #QueSiQueBajaElParo #ironia  https://t.co/Ryb2yFEkGT,1
Queres cambiar a tu país y pagas para ganar tus cursos #Ironía,1
Si algún día gano el campeonato de algo lo celebraré con la bandera de la Comunidad de Madrid en vez de con la de España #Ironía,1
"Noticia de interés para @IvanCepedaCast y @piedadcordoba quienes han sido víctimas del conflicto.
#Sarcasmo.  https://t.co/pcaLHTdUGy",1
Anda que @rtve apostando por la conciliación laboral 1:10am y todavía no ha terminado #MasterChef #ironia,1
"Pues na! No me salen las cuentas, Lorenzo tercero... puede ir mejor el dia? #Ironia",1
"Si delicioso, pero quien me explica... #sarcasmo ""odio el atun"" http://t.co/enUM3L63hO",1
Bienn jaja https://t.co/L4hBRfYywT,1
"#Política #Ironía Peña Nieto asegura que México es un país estable y confiable
 http://t.co/ky5s7i8m10 http://t.co/zVLiOMF8AR",1
@_juliocalderon #sarcasmo imagino 😓,1
"Odio las indirectas. Si, usted. 
#ironía",1
"Todo este tiempo, has cantado mal la del Taxi | Ritmoson: http://t.co/lmLmkJsuxk No podia vivir con esta duda #Sarcasmo",1
"Si esa es la forma correcta de creer en Dios, voy a creer en el diablo 😂 #sarcasmo",1
#ironia de #CQ: De Forrest Gump aprendí que los mejores hombres siempre terminan con facilotas .,0
SOCORRO 😂😂😂😂😂😂😂 https://t.co/LlJr3zGpZf,1
Todos a la vez no #ironia,1
@GValle69 Y Joel se hizo en la banca....#SARCASMO,1
Jajajajajajaaja 😉😜😜😛😛 frases de la vida real jajajaj #ironia https://t.co/crHiTZTCta,1
@SamHallywell Esa #ironía que nos eleva por encima de nosotros mismos. Un saludo y libro-cóctel de #humor y deslices: http://t.co/HnpFU5f3jO,0
@NoeAlondra si es bacan Valdivia sobre todo todo su costanera :) #ironía XD,1
"@AriannaTururu si, sobre todo a ti jajaja #ironia",1
@KKTaimPlis uuuf se me va a hacer la espera eterna #ironía XD,1
"#Ironia Dos pilotos, voltearon las torres gemelas y una gemela volteo a dos Pilotos. #ElVueloDelEscandalo",1
@TvoHablemosClar Felicito a Durán porque en sus años jamás votaron suplentes ni devolvieron a comisiones proyectos ya votados #Sarcasmo,0
Rockeando #sarcasmo #thrash #hardcorepunk  #Atuntaqui #saratoga #sarcasmoBanda #guitarbass… https://t.co/xLghQva9Hj,1
"Con tanta gente ""opinando"", el gobernador solo tiene que entrar a las redes sociales para enderezar al país. #sarcasmo",1
"@fdbedout creo que muchos no ven lo grave que es que al tipo encargado de ""dar seguridad"" en el país le secuestren la hija. #ironia",1
"España no ha conseguido presidir el Eurogrupo porque la recuperación es tan intensa que en Europa no la asimilan
#sarcasmo",1
"Y después pretenden que le hable 
#patético #sarcasmo",1
..Le dice que  Quiere a todo el mundo ... y ni ella sola se quiere jajjaaj 😂😂😂😂 #sarcasmo #hipocrita,0
Ni un rt? #TheTideCCME ?? Enserio que buena gente que sois 😊😊😊 #ironia,1
"Pensando en bloquear nuevamente #superfriend #ironia 
Luego llamará para que le arregle sus problemas #acuestate",1
Jajajjajajajajajaaj amo el #Sarcasmo https://t.co/1y1A9PJxrf,0
@Milenio @EPN el problema es que no hay peores presidentes; siguiendo lógica del letrado presidente #sarcasmo,1
@calbert57 que pena que toquen lo menos importante que es lo social ante lo deportivo #sarcasmo,1
"@juancagalvezjcg @danielmol10 @Bruno22Luna el diablo los hace #sarcasmo y el diablo los junta, un fafero alfombra y un delincuente  confesó.",1
@Piery71 @mafalda80s @Retwiteadero @dilobienoficial @CarlRamirezA la violencia no le parece riesgo?? y los diferentes si #ironía #prejuicio,1
"@serbgil Por supuesto que sí! Eres mi único objetivo en la vida, y lo sabes! :D #ironia",1
El #PIOJOHERRERA utiliza un 4-3-3. Ya no marcará el 04455 de su Movistar. #SARCASMO,1
"Csi apoyas mi musica te invito a que escuches lo nuevo #Ironia LLEGALE
-----&gt; https://t.co/nKEza1RoOh … … … … @YiakStyle  rtrtrt",1
#FelizDiaRockDeMiVida gracias tan bionica por tanto. #Ironia,1
"Hermosa la nota de la aplicación para distraídos en #TelefeNoticias. #PeriodismoDeCalidad.

#Sarcasmo",1
"#AAM @christianchena aaah no,  pero esto es legal o ustedes no entienden?  #sarcasmo http://t.co/okfsvkuiz3",1
"Un pato 
Que va cantando alegremente 
Cuac, cuac 
Cuando se encuentra a un lindo gato 
Miau, miau 
Para cantar bosanova 
#Sarcasmo",1
"@Haryto ud  cual sugiere ....... el goleador teofilo o el goleador bacca #sarcasmo ,,, falcao y jackson y listo",1
"—Oye, ¿sabes Inglés? 

—¡Obvio! 

—¿Qué significa I am? 

—La una de la mañana. #Sarcasmo",0
"Sacar un 9 en Educación Física y sentirte puto amo pero tener la espalda rota de San Juan xD
#Ironía #PutosSaltitosDeMierda",1
Los caminos del señor son inescrutables y los votos de #MelillaVota en Melilla también #ironia #nopuedoconmivida #cagoento #enserio,1
Por miedo al comunismo gente protesta amistad #CubaUS Y lo Escriben en computadoras fabricadas en ¡CHINA COMUNISTA! ¡Espesa la #ironia!,1
@GermanGarmendia #GermanResponde ¿Porque subes videos cada milenio? 😂😂 #Sarcasmo,0
"@BoloGarces @ELECCIONBasica @OZZZZY77 @consuemary @MashiRafael tiene razón, no sabes contar fueron 3 perros, 3 no dos como afirmas #sarcasmo",1
@andreacompton va genial el live #ironia no puedo ni escribiiiir,1
Naaa en Sudamérica y en favor del anfitrión? no creo #SARCASMO  https://t.co/Y4AxcT35Ww,1
"Pensar que los grondona puteaban a maradona por comerse 4 de alemania en 2010
Y ahora humbertito se queda afuera en primera ronda #Ironia",1
"@ahorapodemos @PPopular Así,  dando ejemplo...  (#ironia que seguro que piensa el PP que le damos la razón)  https://t.co/Sb67bCayTy",1
@mistervic_ y quitando el trabajo a profesionales #ironía #yao,1
"@omisiones1 no insistas, lo nuestro es imposible... estás gastando más saliva que el de tu avatar... #sarcasmo #on",1
"Ay algunos con sus sonrisitas y positivismo para solucionar todo! Las cuentas no se pagan con sonrisas o si?#sarcasmo
Ahora si ríanse! jaja!",1
#ironía les ha de haber salido sangre de la boca http://t.co/cxyDrwVcDr,1
"@cesamo70 @cathare031 @EPN, al parecer a el mismo!!! #sarcasmo, es lo unico que nos queda!!! Como quiera los mexicanos aguantamos todo.",1
@djgus_20 @SalburuaBurdinb el día menos pensado van y nos dejan las calles sin naturaleza.... #ironía http://t.co/dSR8bgVi1k,0
"Todos hablan de la resurrección de Freezer, pero nadie habla de la resurrección de nuestro señor Jesucristo.
#Sarcasmo",1
@dlacalle Siempre les quedará la exportación de yogures. #ironía,1
"Menudo dia el de hoy, cojonudo oie, cojonudo! #ironia",1
"?Siempre te hablo yo primero. ?¿Y porque lo sigues haciendo? ?Porque si no, no hablariamos.. #Sarcasmo",1
"- Pablo ¿que tal? 
- Tranquilo
- Ya está, se desmaya 
#ironia #masterchef",1
#Humor e #Ironía Lo que se dijo en las redes tras la expulsión del Tata http://t.co/tFnlT74WS2,1
"@valeecruz_11 jajajajaja no nunca! yo noo jajajaja 💗 #Sarcasmo 

Sii todo sea porque me acompañes 😘",1
"Sigo abrazando la esperanza, abrazando la demencia #Ironía",1
"Para llegar a un buen Black&amp;White es necesario manejar el color de manera perfecta. Si solo clickeas ""Desaturar"" eres un imbécil #Ironía",1
"Asi se estudia mejor 
#FinalDeNutricion #Calorias #HidratosDeCarbono #Ironia https://t.co/5nWFjsQKPY",1
Pedro ha hecho foto con bandera Casnaria #provocacion #nazionalistas #sarcasmo,1
"#sarcasmo

No es que seas Fea pero si fueras agua prefiero deshidratarme..: me siento chido",1
@QuinnPercal tengo que poner #sarcasmo #ironia !,1
"Estoy  impaciente por saber de  que hablaran hoy en @losmanolostv , uff!   es que son tan pocos previsibles  que me tienen perdido #ironia",1
"Hace rato iba tarde para la u. pensé que si corria me podia caer, no me  caí corriendo me caí subiendo el autobus #ironía #lavidaesunaperra",1
Remedio para esa gente envidiosa...  #frases #mujeres #sarcasmo #facebook http://t.co/vFE3L1uLaI,0
"Noticias de esas por las que sueñas con ser periodista: ""Una mujer sufre un colapso en sus piernas por..."" #ironia http://t.co/xECTwCJkRt",1
"Bien el doblaje de Samuel, eh? #Ironía  #JurassicPark",1
@ahorapodemos se encargará de resolverlos si gobiernan. #Ironía  https://t.co/FEFhJGYKb7,1
"Son súper fans esas que en vez de apoyar y preocuparse por su ídolo dejan de seguir a la banda, eh.
#Ironía
¿Tengo razón o no? @miryam24edx",1
"que increible el papá de #Maradona dice:- DI TODO X EL HASTA LE LUSTRABA LOS ZAPATOS""Y PENSA Q #Diego ES1 BASURA como #Padre #Ironia",1
#AlgoQueMeEncantaEs que la gente cambie tanto en tan poco tiempo #Ironia,1
Re contra engripada! #Help! 🙏 #Mesentaronbienlos18 #Sarcasmo  😜 😜,1
@camila_vallejo la representante máxima de los profesores XDDDD #WENA #SARCASMO,1
"@Whitecinnamon y está claro que a la gente no le gustan los pectorales, ni las moobs, solo las tetas de mujer #sarcasmo",1
"Los italianos, reyes de la mafia y de los partidos trucados se lamentan del ""Biscotto"" que les hizo Portugal y Suecia en el Sub21. #Ironía",1
"@JuanCCastro69 @DavilaAurelio Bolillo Solo Dirigió 3 Partidos En Casa Blanca, Tanto Le Gustó Que Por Agradecimiento Los Llamó. #Ironía",1
Los q se van del 💚 tirando mierda terminan jugando en el ❤ y los q son menos valorados en el ❤ se vienen al 💚 y aman la camiseta. #Ironia,1
"#PrometoYaNo hacerle bullying a mis amigos !! 😌 

#sarcasmo",1
@osuna_haz @Moragasanti @HomeLent T'has deixat els jugadors suplents! T'ho diu una lesbiana catalufa de merda #Ironia Sense rancúnia!,0
"*Aveces si dejas aún lado los colores la realidad es más definida*
#LL0n5ll #love #ironía #lol #yolo… https://t.co/eHLrMrJzvt",0
"@LuisChataing Epa, Luis Pero que paso te Cagaste Fue! Jaja #Sarcasmo",0
@MemeKmas  es muy temprano así que no funciono bien pero confió en ti y espero eso sea #sarcasmo,1
"Hasta la indiferencia te regrese
#sarcasmo 
#oscuro 
#sigueme… https://t.co/VnD2z1LU50",1
Seguro que es obra de Soria en venganza a lo de Repsol #ironia http://t.co/D3n33g9y1S,1
#Ironia todo el día escuchando música Colombiana y en el fútbol apoyando a Messi y Mascherano de Argentina.,1
Jajajajajaja #ModoHP #Sarcasmo @glorian10 https://t.co/KBmLncPL8n,1
Pero Marhuenda no se había ido de España? #ironia #AyuntamientosARV,1
"ahora si que che quero escupir na cara,BONITO #ironia",1
@VivoEnLeon @YoungElmer @WRADIOLEON @bonitoleongto @Jorgito702Jorge @FernandoV_mx @marthadebayle que pex con ese nombre tan actual #Sarcasmo,1
Bendito #Sarcasmo que existes en nombre del conocedor. Para callar a los estúpidos que ni cuenta se darán.,1
"Alguien pudiera explicarme -Porque el Presi le puso ""La primera Combatiente"" a su esposa-primera dama-
Primera combatiente de que?
#Sarcasmo",1
"@Segarra_David es porque eres gay, claramemte. #sarcasmo #noteenfadesesti",1
"No hay que ganarse nada, porque los poderosos ya se han quedado con casi todo. #sarcasmo.",1
"Ustedes no entienden, el tipo tenia fiaca de salir del auto y queria tirarse al agua entonces apunto al Riachuelo #sarcasmo",1
"Lo del stop de la parada, ¿lo pueden poner mas alto? #ironia",1
Toy viendo a los #Honorables jejeje... no es un chiste #Sarcasmo @Chitreanos @Traficologo http://t.co/lWVNHOAoN1,1
@mafalda80s @Piery71 @Retwiteadero @dilobienoficial  me manda un texto que dice q ser homofobo es ser victima y ahora dice eso #ironía,1
¿cuanto tiempo tomará para que San Salvador sea tan próspero y pacífico como Nuevo Cuscatlán? #Sarcasmo,1
Me da pena por Teo...#ironia,1
#ironia Profesor de conduccion borracho causa accidente de tránsito,1
Que ya abrieron el puente la pigua entons ya puedo regresar a mi casa #yaerahora #adiostrafico #estegobiernosicumple #ayaja #sarcasmo,1
"Como el cielo y el infierno, tu amor que hiere y es muy tierno 🎶 #Ironía",1
"@gummiexxharry creeme que hay muchas, y esas son las que demuestran el amor por la banda,#ironia",1
@FutVenOficial Es decir que ¿quieren más dinero? ¿Por qué no recogen el que le lanzaron a Blatter? #Ironía #FIFA #Corrupción,1
Pero x favor ...en que mundo vivimos ???? 😱😱😱😱😱 https://t.co/b2w8Myn0rB,1
Nunca entenderé a la gente que siendo adulta cae en juegos de niños #ironia https://t.co/wUNlrFPmkT,1
A quienes piden #QuitenelRegistroalVerde es porque no les ha llegado su paquete (#sarcasmo) http://t.co/wpcS4NDx9D,1
"El falso siempre sera falso xq segimos en el juego? Xq tu tanbien eres falso y necesitas poner a prueba tu gran falsedad
 #Sarcasmo",1
